PLAYER NAME,TEAM,POS,BYE WEEK
Ja'Marr Chase,CIN,WR,10
Bijan Robinson,ATL,RB,5
Saquon Barkley,PHI,RB,9
Justin Jefferson,MIN,WR,6
Jahmyr Gibbs,DET,RB,8
CeeDee Lamb,DAL,WR,10
Derrick Henry,BAL,RB,7
Nico Collins,HOU,WR,6
Brian Thomas Jr.,JAC,WR,8
Malik Nabers,NYG,WR,14
Puka Nacua,LAR,WR,8
Amon-Ra St. Brown,DET,WR,8
Ashton Jeanty,LV,RB,8
Christian McCaffrey,SF,RB,14
Drake London,ATL,WR,5
Jonathan Taylor,IND,RB,11
A.J. Brown,PHI,WR,9
Josh Jacobs,GB,RB,5
George Kittle,SF,TE,14
Brock Bowers,LV,TE,8
Bucky Irving,TB,RB,9
Ladd McConkey,LAC,WR,12
Kyren Williams,LAR,RB,8
De'Von Achane,MIA,RB,12
Josh Allen,BUF,QB,7
Chase Brown,CIN,RB,10
Lamar Jackson,BAL,QB,7
Mike Evans,TB,WR,9
Tee Higgins,CIN,WR,10
Trey McBride,ARI,TE,8
Jayden Daniels,WAS,QB,12
James Cook,BUF,RB,7
Jaxon Smith-Njigba,SEA,WR,8
Tyreek Hill,MIA,WR,12
Omarion Hampton,LAC,RB,12
Davante Adams,LAR,WR,8
Jalen Hurts,PHI,QB,9
Marvin Harrison Jr.,ARI,WR,8
Terry McLaurin,WAS,WR,12
Kenneth Walker III,SEA,RB,8
Garrett Wilson,NYJ,WR,9
Chuba Hubbard,CAR,RB,14
DK Metcalf,PIT,WR,5
TreVeyon Henderson,NE,RB,14
Courtland Sutton,DEN,WR,12
Jameson Williams,DET,WR,8
Joe Burrow,CIN,QB,10
James Conner,ARI,RB,8
Breece Hall,NYJ,RB,9
Alvin Kamara,NO,RB,11
Xavier Worthy,KC,WR,10
Tetairoa McMillan,CAR,WR,14
Calvin Ridley,TEN,WR,10
DJ Moore,CHI,WR,5
George Pickens,DAL,WR,10
Tony Pollard,TEN,RB,10
D'Andre Swift,CHI,RB,5
DeVonta Smith,PHI,WR,9
David Montgomery,DET,RB,8
RJ Harvey,DEN,RB,12
Sam LaPorta,DET,TE,8
Zay Flowers,BAL,WR,7
Isiah Pacheco,KC,RB,10
Patrick Mahomes II,KC,QB,10
Jaylen Waddle,MIA,WR,12
Aaron Jones Sr.,MIN,RB,6
Baker Mayfield,TB,QB,9
Mark Andrews,BAL,TE,7
Bo Nix,DEN,QB,12
Travis Hunter,JAC,WR,8
Kaleb Johnson,PIT,RB,5
Ricky Pearsall,SF,WR,14
Tyrone Tracy Jr.,NYG,RB,14
T.J. Hockenson,MIN,TE,6
Rome Odunze,CHI,WR,5
Emeka Egbuka,TB,WR,9
Kyler Murray,ARI,QB,8
Jordan Mason,MIN,RB,6
Dak Prescott,DAL,QB,10
Chris Olave,NO,WR,11
Jerry Jeudy,CLE,WR,9
Travis Kelce,KC,TE,10
Rashee Rice,KC,WR,10
Jaylen Warren,PIT,RB,5
Deebo Samuel Sr.,WAS,WR,12
Jordan Addison,MIN,WR,6
Brock Purdy,SF,QB,14
Zach Charbonnet,SEA,RB,8
Justin Fields,NYJ,QB,9
Tucker Kraft,GB,TE,5
Travis Etienne Jr.,JAC,RB,8
Matthew Golden,GB,WR,5
David Njoku,CLE,TE,9
Stefon Diggs,NE,WR,14
Tyler Warren,IND,TE,11
J.K. Dobbins,DEN,RB,12
Drake Maye,NE,QB,14
Justin Herbert,LAC,QB,12
Tank Bigsby,JAC,RB,8
Jakobi Meyers,LV,WR,8
Caleb Williams,CHI,QB,5
Jauan Jennings,SF,WR,14
Javonte Williams,DAL,RB,10
Evan Engram,DEN,TE,12
Jayden Reed,GB,WR,5
Jared Goff,DET,QB,8
Rhamondre Stevenson,NE,RB,14
Jordan Love,GB,QB,5
Jacory Croskey-Merritt,WAS,RB,12
Trevor Lawrence,JAC,QB,8
Khalil Shakir,BUF,WR,7
Keon Coleman,BUF,WR,7
Cam Skattebo,NYG,RB,14
C.J. Stroud,HOU,QB,6
Braelon Allen,NYJ,RB,9
Josh Downs,IND,WR,11
Chris Godwin Jr.,TB,WR,9
Dallas Goedert,PHI,TE,9
J.J. McCarthy,MIN,QB,6
Dalton Kincaid,BUF,TE,7
Cooper Kupp,SEA,WR,8
Kyle Pitts Sr.,ATL,TE,5
Darnell Mooney,ATL,WR,5
Austin Ekeler,WAS,RB,12
Michael Pittman Jr.,IND,WR,11
Nick Chubb,HOU,RB,6
Najee Harris,LAC,RB,12
Rashid Shaheed,NO,WR,11
Trey Benson,ARI,RB,8
Colston Loveland,CHI,TE,5
Ray Davis,BUF,RB,7
Brian Robinson Jr.,SF,RB,14
Jake Ferguson,DAL,TE,10
Christian Kirk,HOU,WR,6
Marvin Mims Jr.,DEN,WR,12
Rashod Bateman,BAL,WR,7
Tua Tagovailoa,MIA,QB,12
Brandon Aiyuk,SF,WR,14
Bhayshul Tuten,JAC,RB,8
Tyler Allgeier,ATL,RB,5
Jaydon Blue,DAL,RB,10
Rachaad White,TB,RB,9
Bryce Young,CAR,QB,14
Quinshon Judkins,CLE,RB,9
Hunter Henry,NE,TE,14
Joe Mixon,HOU,RB,6
Michael Penix Jr.,ATL,QB,5
Dylan Sampson,CLE,RB,9
Jerome Ford,CLE,RB,9
Cedric Tillman,CLE,WR,9
Luther Burden III,CHI,WR,5
Jayden Higgins,HOU,WR,6
Geno Smith,LV,QB,8
Denver Broncos,DEN,DST,12
Keenan Allen,LAC,WR,12
Zach Ertz,WAS,TE,12
Tyjae Spears,TEN,RB,10
Jonnu Smith,PIT,TE,5
Matthew Stafford,LAR,QB,8
Isaiah Likely,BAL,TE,7
Rico Dowdle,CAR,RB,14
Romeo Doubs,GB,WR,5
Marquise Brown,KC,WR,10
Ollie Gordon II,MIA,RB,12
Joshua Palmer,BUF,WR,7
Philadelphia Eagles,PHI,DST,9
Pittsburgh Steelers,PIT,DST,5
Adam Thielen,MIN,WR,6
DeMario Douglas,NE,WR,14
Baltimore Ravens,BAL,DST,7
Kyle Williams,NE,WR,14
Cam Ward,TEN,QB,10
Minnesota Vikings,MIN,DST,6
Brenton Strange,JAC,TE,8
Tre' Harris,LAC,WR,12
Xavier Legette,CAR,WR,14
Quentin Johnston,LAC,WR,12
Wan'Dale Robinson,NYG,WR,14
Houston Texans,HOU,DST,6
Blake Corum,LAR,RB,8
Buffalo Bills,BUF,DST,7
Sam Darnold,SEA,QB,8
Brandon Aubrey,DAL,K,10
Jalen Coker,CAR,WR,14
Roschon Johnson,CHI,RB,5
Kansas City Chiefs,KC,DST,10
DeAndre Hopkins,BAL,WR,7
Isaac Guerendo,SF,RB,14
Detroit Lions,DET,DST,8
Chig Okonkwo,TEN,TE,10
Cameron Dicker,LAC,K,12
Cade Otton,TB,TE,9
Alec Pierce,IND,WR,11
Kyle Monangai,CHI,RB,5
Jaylen Wright,MIA,RB,12
Will Shipley,PHI,RB,9
Jake Bates,DET,K,8
Green Bay Packers,GB,DST,5
Seattle Seahawks,SEA,DST,8
Woody Marks,HOU,RB,6
Los Angeles Rams,LAR,DST,8
Kendre Miller,NO,RB,11
Wil Lutz,DEN,K,12
Mike Gesicki,CIN,TE,10
Ka'imi Fairbairn,HOU,K,6
Chase McLaughlin,TB,K,9
Los Angeles Chargers,LAC,DST,12
Chris Rodriguez Jr.,WAS,RB,12
Darius Slayton,NYG,WR,14
Michael Wilson,ARI,WR,8
Pat Freiermuth,PIT,TE,5
DJ Giddens,IND,RB,11
Keaton Mitchell,BAL,RB,7
Aaron Rodgers,PIT,QB,5
Chris Boswell,PIT,K,5
Pat Bryant,DEN,WR,12
Kareem Hunt,KC,RB,10
Harrison Butker,KC,K,10
Mason Taylor,NYJ,TE,9
Adonai Mitchell,IND,WR,11
Tyler Bass,BUF,K,7
Evan McPherson,CIN,K,10
Elic Ayomanor,TEN,WR,10
San Francisco 49ers,SF,DST,14
Jaylin Noel,HOU,WR,6
Dalton Schultz,HOU,TE,6
New York Jets,NYJ,DST,9
Andrei Iosivas,CIN,WR,10
Miles Sanders,DAL,RB,10
MarShawn Lloyd,GB,RB,5
Tahj Brooks,CIN,RB,10
Jack Bech,LV,WR,8
Calvin Austin III,PIT,WR,5
Jake Elliott,PHI,K,9
Justice Hill,BAL,RB,7
Dontayvion Wicks,GB,WR,5
Juwan Johnson,NO,TE,11
Dameon Pierce,HOU,RB,6
Dont'e Thornton Jr.,LV,WR,8
Sean Tucker,TB,RB,9
Elijah Arroyo,SEA,TE,8
Jalen McMillan,TB,WR,9
Jarquez Hunter,LAR,RB,8
Tory Horton,SEA,WR,8
Ja'Tavion Sanders,CAR,TE,14
Tyler Lockett,TEN,WR,10
Daniel Jones,IND,QB,11
Isaac TeSlaa,DET,WR,8
Dyami Brown,JAC,WR,8
Matt Gay,WAS,K,12
Younghoe Koo,ATL,K,5
Roman Wilson,PIT,WR,5
Brashard Smith,KC,RB,10
Jalen Royals,KC,WR,10
Russell Wilson,NYG,QB,14
Devin Neal,NO,RB,11
Tampa Bay Buccaneers,TB,DST,9
Theo Johnson,NYG,TE,14
Cole Kmet,CHI,TE,5
Harold Fannin Jr.,CLE,TE,9
Raheem Mostert,LV,RB,8
Devaughn Vele,NO,WR,11
Malik Washington,MIA,WR,12
Joshua Karty,LAR,K,8
Elijah Mitchell,KC,RB,10
Nick Westbrook-Ikhine,MIA,WR,12
Noah Gray,KC,TE,10
Jalen Tolbert,DAL,WR,10
Kayshon Boutte,NE,WR,14
Kenneth Gainwell,PIT,RB,5
Joe Flacco,CLE,QB,9
Brandin Cooks,NO,WR,11
Amari Cooper,LV,WR,8
Darren Waller,MIA,TE,12
Dallas Cowboys,DAL,DST,10
Devin Singletary,NYG,RB,14
Anthony Richardson Sr.,IND,QB,11
Trevor Etienne,CAR,RB,14
Isaiah Davis,NYJ,RB,9
Jaleel McLaughlin,DEN,RB,12
Ty Johnson,BUF,RB,7
Elijah Moore,BUF,WR,7
Tre Tucker,LV,WR,8
Tyler Loop,BAL,K,7
Jason Sanders,MIA,K,12
Spencer Rattler,NO,QB,11
Jalen Nailor,MIN,WR,6
Antonio Gibson,NE,RB,14
Chicago Bears,CHI,DST,5
Emanuel Wilson,GB,RB,5
Jaxson Dart,NYG,QB,14
Tyler Shough,NO,QB,11
Will Reichard,MIN,K,6
Troy Franklin,DEN,WR,12
Daniel Carlson,LV,K,8
New England Patriots,NE,DST,14
Jordan James,SF,RB,14
Tim Patrick,JAC,WR,8
Parker Washington,JAC,WR,8
Christian Watson,GB,WR,5
Cleveland Browns,CLE,DST,9
Arizona Cardinals,ARI,DST,8
Terrance Ferguson,LAR,TE,8
Ray-Ray McCloud III,ATL,WR,5
Chris Brooks,GB,RB,5
Luke McCaffrey,WAS,WR,12
Noah Fant,CIN,TE,10
Taysom Hill,NO,TE,11
Tyler Higbee,LAR,TE,8
Jermaine Burton,CIN,WR,10
Xavier Restrepo,TEN,WR,10
Tutu Atwell,LAR,WR,8
Zamir White,LV,RB,8
Audric Estime,PHI,RB,9
Oronde Gadsden II,LAC,TE,12
Phil Mafah,DAL,RB,10
Ty Chandler,MIN,RB,6
Samaje Perine,CIN,RB,10
Tez Johnson,TB,WR,9
Diontae Johnson,FA,WR,-
A.J. Dillon,PHI,RB,9
Ben Sinnott,WAS,TE,12
Josh Reynolds,NYJ,WR,9
Kimani Vidal,LAC,RB,12
KaVontae Turpin,DAL,WR,10
Jordan Whittington,LAR,WR,8
Cam Little,JAC,K,8
Khalil Herbert,FA,RB,-
Brandon McManus,GB,K,5
Shedeur Sanders,CLE,QB,9
Damien Martinez,SEA,RB,8
Raheim Sanders,CLE,RB,9
Jaylin Lane,WAS,WR,12
Sincere McCormick,SF,RB,14
Noah Brown,WAS,WR,12
Tyler Conklin,LAC,TE,12
Will Dissly,LAC,TE,12
KeAndre Lambert-Smith,LAC,WR,12
Jason Myers,SEA,K,8
AJ Barner,SEA,TE,8
New York Giants,NYG,DST,14
Dawson Knox,BUF,TE,7
Michael Mayer,LV,TE,8
Kalel Mullings,TEN,RB,10
Miami Dolphins,MIA,DST,12
Jalen Milroe,SEA,QB,8
Demarcus Robinson,SF,WR,14
Gabe Davis,FA,WR,-
Isaiah Bond,CLE,WR,9
Olamide Zaccheaus,CHI,WR,5
Jake Moody,SF,K,14
Tai Felton,MIN,WR,6
John Metchie III,PHI,WR,9
Luke Musgrave,GB,TE,5
LeQuint Allen Jr.,JAC,RB,8
Washington Commanders,WAS,DST,12
Zack Moss,FA,RB,-
Kirk Cousins,ATL,QB,5
Gunnar Helm,TEN,TE,10
Dillon Gabriel,CLE,QB,9
Savion Williams,GB,WR,5
Allen Lazard,NYJ,WR,9
Emari Demercado,ARI,RB,8
Marquez Valdes-Scantling,SF,WR,14
Austin Hooper,NE,TE,14
Curtis Samuel,BUF,WR,7
Chimere Dike,TEN,WR,10
Jameis Winston,NYG,QB,14
Jimmy Garoppolo,LAR,QB,8
Mack Hollins,NE,WR,14
Gus Edwards,FA,RB,-
Jahan Dotson,PHI,WR,9
Chad Ryland,ARI,K,8
Van Jefferson,TEN,WR,10
Justin Tucker,FA,K,-
Indianapolis Colts,IND,DST,11
Zay Jones,ARI,WR,8
Cade Stover,HOU,TE,6
Jamari Thrash,CLE,WR,9
Atlanta Falcons,ATL,DST,5
Cam Akers,FA,RB,-
Jeremy McNichols,WAS,RB,12
Cairo Santos,CHI,K,5
George Holani,SEA,RB,8
Greg Dortch,ARI,WR,8
Trey Sermon,PIT,RB,5
Craig Reynolds,DET,RB,8
Foster Moreau,NO,TE,11
Julius Chestnut,TEN,RB,10
Tank Dell,HOU,WR,6
Hunter Renfrow,CAR,WR,14
Tommy Tremble,CAR,TE,14
Kyle Juszczyk,SF,RB,14
Luke Schoonmaker,DAL,TE,10
Tyler Goodson,IND,RB,11
Efton Chism III,NE,WR,14
Cincinnati Bengals,CIN,DST,10
Hassan Haskins,LAC,RB,12
Donovan Edwards,WAS,RB,12
Jalin Hyatt,NYG,WR,14
Josh Oliver,MIN,TE,6
Tyrod Taylor,NYJ,QB,9
Las Vegas Raiders,LV,DST,8
Tyquan Thornton,KC,WR,10
Jacob Cowing,SF,WR,14
JuJu Smith-Schuster,KC,WR,10
Dare Ogunbowale,HOU,RB,6
Matt Prater,FA,K,-
Eddy Pineiro,FA,K,-
Kenny Pickett,LV,QB,8
Arian Smith,NYJ,WR,9
Blake Grupe,NO,K,11
Joe Milton III,DAL,QB,10
Jacksonville Jaguars,JAC,DST,8
Jonathon Brooks,CAR,RB,14
Carolina Panthers,CAR,DST,14
Darnell Washington,PIT,TE,5
New Orleans Saints,NO,DST,11
Jimmy Horn Jr.,CAR,WR,14
Theo Wease Jr.,MIA,WR,12
Xavier Hutchinson,HOU,WR,6
Kalif Raymond,DET,WR,8
Devontez Walker,BAL,WR,7
Jordan Watkins,SF,WR,14
Tyler Badie,DEN,RB,12
Nick Folk,NYJ,K,9
Alec Ingold,MIA,RB,12
Tennessee Titans,TEN,DST,10
Ja'Quinden Jackson,JAC,RB,8
Antwane Wells Jr.,FA,WR,-
Grant Calcaterra,PHI,TE,9
Graham Gano,NYG,K,14
Elijah Higgins,ARI,TE,8
Andy Borregales,NE,K,14
Spencer Shrader,IND,K,11
Clyde Edwards-Helaire,KC,RB,10
Stone Smartt,NYJ,TE,9
Jeremy Ruckert,NYJ,TE,9
Mitchell Evans,CAR,TE,14
David Moore,CAR,WR,14
Skyy Moore,SF,WR,14
Robert Woods,PIT,WR,5
Jonathan Mingo,DAL,WR,10
Casey Washington,ATL,WR,5
Mason Rudolph,PIT,QB,5
Sterling Shepard,TB,WR,9
Malik Willis,GB,QB,5
Javon Baker,PHI,WR,9
Greg Dulcich,MIA,TE,12
Deshaun Watson,CLE,QB,9
D'Ernest Johnson,FA,RB,-
Tyler Johnson,NYJ,WR,9
Jeff Wilson Jr.,MIA,RB,12
Colby Parkinson,LAR,TE,8
Chris Tyree,NO,RB,11
Mitchell Tinsley,CIN,WR,10
KhaDarel Hodge,ATL,WR,5
Hunter Luepke,DAL,RB,10
Jake Bobo,SEA,WR,8
Marcus Mariota,WAS,QB,12
Julian Hill,MIA,TE,12
Sione Vaki,DET,RB,8
Tyrell Shavers,BUF,WR,7
John Bates,WAS,TE,12
Tony Jones Jr.,FA,RB,-
Kendrick Bourne,FA,WR,-
Zach Wilson,MIA,QB,12
Aidan O'Connell,LV,QB,8
Malachi Corley,CLE,WR,9
Dylan Laube,LV,RB,8
Daniel Bellinger,NYG,TE,14
Michael Carter,ARI,RB,8
Russell Gage Jr.,SF,WR,14
Marcus Yarns,FA,RB,-
Carson Steele,KC,RB,10
Payne Durham,TB,TE,9
Thomas Fidone II,NYG,TE,14
Mac Jones,SF,QB,14
Zavier Scott,MIN,WR,6
Eric Gray,NYG,RB,14
Sam Howell,PHI,QB,9
Trayveon Williams,CLE,RB,9
Will Howard,PIT,QB,5
Patrick Ricard,BAL,RB,7
Cordarrelle Patterson,FA,RB,-
Josh Williams,TB,RB,9
Brock Wright,DET,TE,8
Jase McClellan,FA,RB,-
Pierre Strong Jr.,FA,RB,-
Hunter Long,JAC,TE,8
Deuce Vaughn,FA,RB,-
DeeJay Dallas,CAR,RB,14
Gardner Minshew II,KC,QB,10
Ricky White III,SEA,WR,8
Andy Dalton,CAR,QB,14
Adam Trautman,DEN,TE,12
C.J. Ham,MIN,RB,6
Derius Davis,LAC,WR,12
Rasheen Ali,BAL,RB,7
Kylen Granson,PHI,TE,9
Quinn Ewers,MIA,QB,12
Luke Lachey,HOU,TE,6
Ben Skowronek,PIT,WR,5
Jake Browning,CIN,QB,10
Charlie Kolar,BAL,TE,7
Trent Sherfield Sr.,DEN,WR,12
Taylor Heinicke,FA,QB,-
Harrison Bryant,HOU,TE,6
Konata Mumpfield,LAR,WR,8
Beaux Collins,NYG,WR,14
Kene Nwangwu,NYJ,RB,9
Drew Sample,CIN,TE,10
Jelani Woods,NYJ,TE,9
Davis Mills,HOU,QB,6
Trey Lance,LAC,QB,12
Luke Farrell,SF,TE,14
Charlie Woerner,ATL,TE,5
Corey Kiner,SF,RB,14